step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
382,183,0,76,72,255,0,990.0,5.409836065573771,4.854350899083275
383,184,0,81,72,256,0,1070.0,5.815217391304348,4.819187992954
384,184,0,84,73,257,0,1153.0,6.266304347826087,4.616980114708648
385,184,0,87,73,257,0,1240.0,6.739130434782608,4.511365967470192
386,185,0,92,73,258,0,1331.0,7.194594594594594,4.361252371482849
387,184,0,98,75,259,0,1420.0,7.717391304347826,4.209708144961309
388,182,0,101,77,259,0,1521.0,8.357142857142858,4.081776094239189
389,182,0,102,78,260,0,1607.0,8.82967032967033,3.9952059231603463
390,182,0,92,79,261,0,1422.0,7.813186813186813,4.027866145303628
391,181,0,86,80,261,0,1394.0,7.701657458563536,4.143790686043431
392,182,0,84,80,262,0,1415.0,7.774725274725275,4.174084192426891
393,183,0,86,80,263,0,1460.0,7.978142076502732,4.283804308519196
394,183,0,84,80,263,0,1528.0,8.349726775956285,4.426936212633586
395,183,1,86,80,263,0,1606.0,8.775956284153006,4.571946464125595
396,185,0,89,80,265,0,1693.0,9.151351351351352,4.637749718590587
